@timestamp,agent.type,host.ip,host.os.version,input.type,log.file.path,message
"Oct 23, 2022 @ 22:10:31.773",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:10:20 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.759",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""POST /sdk HTTP/1.1"" 404 1000"
"Oct 23, 2022 @ 22:05:56.744",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:05:44 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 22:04:36.598",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST /sdk HTTP/1.1"" 404 1000"
"Oct 23, 2022 @ 17:54:22.702",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:09:54:08 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 16:55:17.370",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:08:55:07 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 16:55:17.369",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:08:55:07 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 16:55:17.369",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:08:55:07 +0000] ""POST /sdk HTTP/1.1"" 404 1000"
"Oct 23, 2022 @ 16:51:12.006",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:08:50:55 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 16:51:12.005",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:08:50:55 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 16:51:12.005",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:08:50:55 +0000] ""POST /sdk HTTP/1.1"" 404 1000"
