"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","ecs.version","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message
"Oct 23, 2022 @ 22:10:31.773","0NcuBYQBlvB-G1GIUgzJ",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","6,635","172.16.0.9 - - [23/Oct/2022:14:10:20 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 22:08:31.760","NNYsBYQBlvB-G1GIfff7",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","5,728","172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.759","GNYsBYQBlvB-G1GIfff7",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","3,648","172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.759","GdYsBYQBlvB-G1GIfff7",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","3,719","172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""POST /sdk HTTP/1.1"" 404 1000"
"Oct 23, 2022 @ 22:05:56.744","PdYqBYQBlvB-G1GIIOZx",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","3,280","172.16.0.9 - - [23/Oct/2022:14:05:44 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 22:04:36.598","29YoBYQBlvB-G1GI59Bh",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","2,299","172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597","v9YoBYQBlvB-G1GI59Bh",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log",215,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:04:36.597","xdYoBYQBlvB-G1GI59Bh",".ds-filebeat-8.4.3-2022.10.20-000001","-","74a812eb-90c8-481f-bd2e-0d838fa9d677",b786aac770f9,"8ca07d9a-6581-4b91-a6e7-b6fac88619af",b786aac770f9,filebeat,"8.4.3","8.0.0","x86_64",false,b786aac770f9,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",b786aac770f9,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log",672,"172.16.0.9 - - [23/Oct/2022:14:04:22 +0000] ""POST /sdk HTTP/1.1"" 404 1000"
"Oct 23, 2022 @ 17:54:22.702",rr1DBIQBY9uvdcLxzwZx,".ds-filebeat-8.4.3-2022.10.20-000001","-","a9f0773c-2f2b-4347-a4f1-29df9fb5c51b",c9a8110c46dc,"87e05e9f-3bbb-4088-8996-b8de00adeab4",c9a8110c46dc,filebeat,"8.4.3","8.0.0","x86_64",false,c9a8110c46dc,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",c9a8110c46dc,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","6,630","172.16.0.9 - - [23/Oct/2022:09:54:08 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 16:55:17.370",uLwNBIQBY9uvdcLxttpm,".ds-filebeat-8.4.3-2022.10.20-000001","-","a9f0773c-2f2b-4347-a4f1-29df9fb5c51b",c9a8110c46dc,"87e05e9f-3bbb-4088-8996-b8de00adeab4",c9a8110c46dc,filebeat,"8.4.3","8.0.0","x86_64",false,c9a8110c46dc,f3e41f31b6024d84806ddf3a54075add,"172.16.0.2","02:42:ac:10:00:02",c9a8110c46dc,jessie,debian,"5.15.0-52-generic","Debian GNU/Linux","Debian GNU/Linux",debian,linux,"8 (jessie)",log,"/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log","5,441","172.16.0.9 - - [23/Oct/2022:08:55:07 +0000] ""POST / HTTP/1.1"" 200 2469"
