@timestamp,agent.type,host.ip,host.os.version,input.type,log.file.path,message
"Oct 23, 2022 @ 22:13:53.289",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:52 85bda7222493 sshd[221]: Accepted publickey for bob from 172.16.0.9 port 55396 ssh2: RSA SHA256:svUYivs8he0tZ5YL/rNQMdh0yxfD718nL1w9WhB9jSo
"Oct 23, 2022 @ 22:13:53.289",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:52 85bda7222493 sshd[221]: pam_unix(sshd:session): session opened for user bob(uid=1000) by (uid=0)
"Oct 23, 2022 @ 22:13:53.289",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:52 85bda7222493 sshd[221]: pam_systemd(sshd:session): Failed to connect to system bus: No such file or directory
"Oct 23, 2022 @ 22:13:53.289",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:52 85bda7222493 sshd[221]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory
"Oct 23, 2022 @ 22:13:53.289",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:52 85bda7222493 sshd[232]: Received disconnect from 172.16.0.9 port 55396:11: disconnected by user
"Oct 23, 2022 @ 22:13:53.289",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:52 85bda7222493 sshd[232]: Disconnected from user bob 172.16.0.9 port 55396
"Oct 23, 2022 @ 22:13:53.289",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:52 85bda7222493 sshd[221]: pam_unix(sshd:session): session closed for user bob
"Oct 23, 2022 @ 22:13:38.286",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:37 85bda7222493 sshd[205]: pam_systemd(sshd:session): Failed to connect to system bus: No such file or directory
"Oct 23, 2022 @ 22:13:38.286",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:37 85bda7222493 sshd[205]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory
"Oct 23, 2022 @ 22:13:38.286",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:37 85bda7222493 sshd[216]: Received disconnect from 172.16.0.9 port 37846:11: disconnected by user
"Oct 23, 2022 @ 22:13:38.286",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:37 85bda7222493 sshd[216]: Disconnected from user bob 172.16.0.9 port 37846
"Oct 23, 2022 @ 22:13:38.286",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:37 85bda7222493 sshd[205]: pam_unix(sshd:session): session closed for user bob
"Oct 23, 2022 @ 22:13:38.285",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:33 85bda7222493 sshd[203]: Connection closed by authenticating user bob 172.16.0.9 port 37832 [preauth]
"Oct 23, 2022 @ 22:13:38.285",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:37 85bda7222493 sshd[205]: Accepted password for bob from 172.16.0.9 port 37846 ssh2
"Oct 23, 2022 @ 22:13:38.285",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:37 85bda7222493 sshd[205]: pam_unix(sshd:session): session opened for user bob(uid=1000) by (uid=0)
"Oct 23, 2022 @ 22:13:13.278",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:10 85bda7222493 sshd[185]: syslogin_perform_logout: logout() returned an error
"Oct 23, 2022 @ 22:13:13.278",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:10 85bda7222493 sshd[196]: Received disconnect from 172.16.0.9 port 39946:11: disconnected by user
"Oct 23, 2022 @ 22:13:13.278",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:10 85bda7222493 sshd[196]: Disconnected from user bob 172.16.0.9 port 39946
"Oct 23, 2022 @ 22:13:13.278",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:13:10 85bda7222493 sshd[185]: pam_unix(sshd:session): session closed for user bob
"Oct 23, 2022 @ 22:12:58.274",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:12:57 85bda7222493 sshd[185]: pam_unix(sshd:session): session opened for user bob(uid=1000) by (uid=0)
"Oct 23, 2022 @ 22:12:58.274",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:12:57 85bda7222493 sshd[185]: pam_systemd(sshd:session): Failed to connect to system bus: No such file or directory
"Oct 23, 2022 @ 22:12:58.274",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:12:57 85bda7222493 sshd[185]: pam_env(sshd:session): Unable to open env file: /etc/default/locale: No such file or directory
"Oct 23, 2022 @ 22:12:58.258",filebeat,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),log,/var/log/auth.log,Oct 23 14:12:57 85bda7222493 sshd[185]: Accepted password for bob from 172.16.0.9 port 39946 ssh2
"Oct 23, 2022 @ 22:12:45.020",filebeat,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),log,/root/src/john/run/john.pot,$SHA512$d9dd119a5a1668cdb131613cfafc5efb998976367d67816c90310ea552f8b667098e1b524e6a4fbfaf859701b62f5ae0f6aa7328ace5c00a4abcec9722b6e0fc:d0ck3r
"Oct 23, 2022 @ 22:11:19.764",filebeat,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),log,/var/log/vsftpd.log,"Sun Oct 23 14:11:11 2022 [pid 145] [ross] OK DOWNLOAD: Client ""::ffff:172.16.0.9"", ""/ftpdir/pass.txt"", 153 bytes, 48.94Kbyte/sec"
"Oct 23, 2022 @ 22:10:44.757",filebeat,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),log,/var/log/vsftpd.log,"Sun Oct 23 14:10:43 2022 [pid 143] [ross] OK LOGIN: Client ""::ffff:172.16.0.9"""
"Oct 23, 2022 @ 22:10:37.738",filebeat,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),log,/var/log/vsftpd.log,"Sun Oct 23 14:10:36 2022 [pid 144] CONNECT: Client ""::ffff:172.16.0.9"""
"Oct 23, 2022 @ 22:10:31.773",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:10:20 +0000] ""POST /login HTTP/1.1"" 200 104"
"Oct 23, 2022 @ 22:08:46.764",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:38 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""VPMT / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET /HNAP1 HTTP/1.1"" 404 1004"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""CONNECT www.google.com:80 HTTP/1.0"" 400 -"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""HEAD / HTTP/1.0"" 200 -"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET / HTTP/1.1"" 200 2469"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""OPTIONS / HTTP/1.1"" 405 1086"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET / HTTP/1.0"" 200 2469"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""GET /favicon.ico HTTP/1.1"" 404 1016"
"Oct 23, 2022 @ 22:08:31.760",filebeat,172.16.0.2,8 (jessie),log,/usr/local/tomcat/logs/localhost_access_log.2022-10-23.log,"172.16.0.9 - - [23/Oct/2022:14:08:21 +0000] ""HEAD / HTTP/1.1"" 200 -"
