@timestamp,agent.type,destination.bytes,destination.ip,destination.port,event.type,host.ip,host.os.version,network.packets,network.transport,network.type,source.ip,source.port
"Oct 23, 2022 @ 22:56:10.802",packetbeat,458.3KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,206",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:56:10.005",packetbeat,485.2KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,749",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:56:10.003",packetbeat,265.2KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,255",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:56:10.001",packetbeat,271.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,314",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:56:00.801",packetbeat,457.8KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,202",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:56:00.002",packetbeat,264.7KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,251",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:56:00.002",packetbeat,484.7KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,745",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:56:00.001",packetbeat,270.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,310",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:55:50.802",packetbeat,457.3KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,198",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:55:50.003",packetbeat,484.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,741",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:55:50.003",packetbeat,264.2KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,247",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:55:50.002",packetbeat,270.1KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,306",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:55:40.801",packetbeat,456.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,194",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:55:40.004",packetbeat,483.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,737",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:55:40.003",packetbeat,263.8KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,243",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:55:40.001",packetbeat,269.6KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,302",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:55:30.801",packetbeat,456.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,190",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:55:30.003",packetbeat,263.3KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,239",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:55:30.003",packetbeat,483.3KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,733",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:55:30.000",packetbeat,269.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,298",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:55:20.801",packetbeat,455.9KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,186",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:55:20.003",packetbeat,262.8KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,235",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:55:20.003",packetbeat,482.8KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,729",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:55:20.000",packetbeat,268.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,294",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:55:10.802",packetbeat,455.4KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,182",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:55:10.004",packetbeat,482.4KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,725",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:55:10.002",packetbeat,262.3KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,231",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:55:10.000",packetbeat,268.2KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,290",tcp,ipv4,172.16.0.4,54032
"Oct 23, 2022 @ 22:55:00.802",packetbeat,455KB,172.16.0.5,9200,connection,172.16.0.2,8 (jessie),"6,178",tcp,ipv4,172.16.0.2,49930
"Oct 23, 2022 @ 22:55:00.002",packetbeat,481.9KB,172.16.0.5,9200,connection,172.16.0.9,22.04.1 LTS (Jammy Jellyfish),"6,721",tcp,ipv4,172.16.0.9,44870
"Oct 23, 2022 @ 22:55:00.001",packetbeat,261.9KB,172.16.0.5,9200,connection,172.16.0.3,22.04.1 LTS (Jammy Jellyfish),"2,227",tcp,ipv4,172.16.0.3,41484
"Oct 23, 2022 @ 22:55:00.001",packetbeat,267.7KB,172.16.0.5,9200,connection,172.16.0.4,22.04.1 LTS (Jammy Jellyfish),"2,286",tcp,ipv4,172.16.0.4,54032
